╔════════════════════════════════════════════════════════════════════╗
║         HOLONIC REALMS SDL2 GUI - SIMULATION VIEWER              ║
║   Real-time visualization of cosmological emergence                 ║
╚════════════════════════════════════════════════════════════════════╝

Initializing SDL2 subsystems...
Window created successfully
Initializing WGPU...
GPU adapter found: AdapterInfo { name: "NVIDIA GeForce RTX 2060 SUPER", vendor: 4318, device: 7942, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "590.48.01", backend: Vulkan }
WGPU initialized successfully
Surface format: Bgra8UnormSrgb
Surface size: 960x1080
Created 100 entities and 4 collective groups

════════════════════════════════════════════════════════════════════
STARTING SDL2 GUI
════════════════════════════════════════════════════════════════════

Controls:
  WASD/Arrows: Pan camera
  +/-: Zoom in/out
  1: Toggle Entity Visualization
  2: Toggle Spectrum Visualization
  3: Toggle Emergence Visualization
  4: Toggle Collective Visualization
  P: Toggle Performance Display
  F11: Toggle Fullscreen
  ESC: Exit
  Shift+C: Copy entity info to clipboard
  Shift+V: Paste from clipboard

Window focused
FPS: 4926.8 | Frame: 0.203ms | Event: 0.017ms | Render: 0.184ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4903.0 | Frame: 0.204ms | Event: 0.018ms | Render: 0.185ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4865.2 | Frame: 0.206ms | Event: 0.018ms | Render: 0.186ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4792.3 | Frame: 0.209ms | Event: 0.018ms | Render: 0.189ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4748.6 | Frame: 0.211ms | Event: 0.018ms | Render: 0.191ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4706.0 | Frame: 0.212ms | Event: 0.018ms | Render: 0.193ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4655.8 | Frame: 0.215ms | Event: 0.019ms | Render: 0.195ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4597.2 | Frame: 0.218ms | Event: 0.019ms | Render: 0.197ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4570.0 | Frame: 0.219ms | Event: 0.019ms | Render: 0.198ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4537.7 | Frame: 0.220ms | Event: 0.019ms | Render: 0.200ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4506.2 | Frame: 0.222ms | Event: 0.019ms | Render: 0.201ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4472.4 | Frame: 0.224ms | Event: 0.020ms | Render: 0.202ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4435.5 | Frame: 0.225ms | Event: 0.020ms | Render: 0.204ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4409.2 | Frame: 0.227ms | Event: 0.020ms | Render: 0.205ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4381.7 | Frame: 0.228ms | Event: 0.020ms | Render: 0.206ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4344.0 | Frame: 0.230ms | Event: 0.021ms | Render: 0.208ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4306.6 | Frame: 0.232ms | Event: 0.021ms | Render: 0.210ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4256.2 | Frame: 0.235ms | Event: 0.021ms | Render: 0.212ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4227.0 | Frame: 0.237ms | Event: 0.021ms | Render: 0.214ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4199.9 | Frame: 0.238ms | Event: 0.021ms | Render: 0.215ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4173.3 | Frame: 0.240ms | Event: 0.022ms | Render: 0.216ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4136.5 | Frame: 0.242ms | Event: 0.022ms | Render: 0.218ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4108.6 | Frame: 0.243ms | Event: 0.022ms | Render: 0.219ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4074.8 | Frame: 0.245ms | Event: 0.022ms | Render: 0.221ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4055.8 | Frame: 0.247ms | Event: 0.023ms | Render: 0.222ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4031.8 | Frame: 0.248ms | Event: 0.023ms | Render: 0.223ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4001.2 | Frame: 0.250ms | Event: 0.023ms | Render: 0.225ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3968.3 | Frame: 0.252ms | Event: 0.023ms | Render: 0.227ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3936.5 | Frame: 0.254ms | Event: 0.024ms | Render: 0.229ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3903.3 | Frame: 0.256ms | Event: 0.024ms | Render: 0.231ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3905.6 | Frame: 0.256ms | Event: 0.024ms | Render: 0.230ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3912.2 | Frame: 0.256ms | Event: 0.024ms | Render: 0.230ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3915.2 | Frame: 0.255ms | Event: 0.024ms | Render: 0.230ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3910.7 | Frame: 0.256ms | Event: 0.024ms | Render: 0.230ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3914.1 | Frame: 0.255ms | Event: 0.024ms | Render: 0.230ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
